building_genome_id,province_territory,climate_zone,metro,sector,vintage,weather_station,building_type,building_envelope_bin,year,building_genome_gfa,building_genome_qty,unit_gfa,hdd_bal_point,hdd,cdd_bal_point,cdd,load_heating_annual_kwh,load_cooling_annual_kwh,load_dhw_annual_kwh,load_lighting_annual_kwh,load_cooking_annual_kwh,load_dryer_annual_kwh,load_appliances_annual_kwh,load_motors_annual_kwh,load_process_annual_kwh,heating_bin_min_eui_kwh_per_sqm,heating_bin_max_eui_kwh_per_sqm
0,AB,6,Calgary,res,ex,AB CZ6 - Calgary,sfd,-5,2021,5.50945199339977,35218,156.438525566465,hdd_18,4861.389583,cdd_18,288.991667,35624.8298258221,2747.81278011448,5282.53501314926,1265.83118853474,360.701685221863,387.761298633947,2204.40189313566,0,0,201.7035051925,394.793862598058
1,AB,7A,Edmonton,res,ex,AB CZ7a - Edmonton,sfd,-5,2021,3.98366226038965,25464,156.442910005877,hdd_18,5668.929167,cdd_18,223.316667,42059.1306200803,2123.35669732363,5282.53501314926,1265.83118853474,360.701685221863,387.761298633947,2204.40189313566,0,0,240.0616354325,460.374221078903
2,AB,6,Lethbridge,res,ex,AB CZ6 - Lethbridge,sfd,-5,2021,0.544930251530903,3483,156.454278360868,hdd_18,4339.08125,cdd_18,428.608333,31273.6290390583,4075.32669473464,5282.53501314926,1265.83118853474,360.701685221863,387.761298633947,2204.40189313566,0,0,176.893859375,352.377158334465
3,AB,6,Medicine Hat,res,ex,AB CZ6 - Medicine Hat,sfd,-5,2021,0.364645487320262,2330,156.500209150327,hdd_18,4532.875,cdd_18,503.916667,32907.1303378568,4791.37918428386,5282.53501314926,1265.83118853474,360.701685221863,387.761298633947,2204.40189313566,0,0,186.0990625,368.115165298031
4,AB,7A,Red Deer,res,ex,AB CZ7A - Red Deer,sfd,-5,2021,0.273377931225347,1747,156.484219361962,hdd_18,5607.15,cdd_18,215.4125,41541.5876425679,2048.20168913871,5282.53501314926,1265.83118853474,360.701685221863,387.761298633947,2204.40189313566,0,0,237.127125,455.357129658518
5,AB,7B,Wood Buffalo,res,ex,AB CZ7b - Fort McMurray,sfd,-5,2021,0.170402186031489,1089,156.475836576206,hdd_18,6170.11875,cdd_18,241.654167,46204.9798558889,2297.71472424677,5282.53501314926,1265.83118853474,360.701685221863,387.761298633947,2204.40189313566,0,0,263.868140625,501.075869854062
6,BC,4,Abbotsford - Mission,res,ex,BC CZ4 - Abbotsford - Mission,sfd,-5,2021,0.433360976590593,2269,190.992056672804,hdd_18,3010.945833,cdd_18,295.320833,23911.1269624946,6416.86683494723,4449.75255592341,1454.54060751242,360.701685221863,387.761298633947,2472.31794653574,0,0,113.8074270675,200.206555550485
7,BC,4,Chilliwack,res,ex,BC CZ4 - Abbotsford - Mission,sfd,-5,2021,0.378754373162839,1983,191.000692467392,hdd_18,3010.945833,cdd_18,295.320833,23912.2081152107,6416.86683494723,4449.75255592341,1454.54060751242,360.701685221863,387.761298633947,2472.31794653574,0,0,113.8074270675,200.206555550485
8,BC,5,Courtenay,res,ex,BC CZ5 - Courtenay,sfd,-5,2021,0.107378155114187,562,191.064332943393,hdd_18,2965.7625,cdd_18,241.945833,23198.3369994819,5257.11029547103,4449.75255592341,1454.54060751242,360.701685221863,387.761298633947,2472.31794653574,0,0,111.66121875,197.202184176853
9,BC,5,Kamloops,res,ex,BC CZ5 - Kamloops,sfd,-5,2021,0.137376863030139,719,191.066568887536,hdd_18,3578.754167,cdd_18,556.433333,29113.6871754999,12090.4392829843,4449.75255592341,1454.54060751242,360.701685221863,387.761298633947,2472.31794653574,0,0,140.7783229325,237.961784992701
10,BC,5,Kelowna,res,ex,BC CZ5 - Kelowna,sfd,-5,2021,0.25205419191456,1319,191.094914264261,hdd_18,3804.025,cdd_18,525.383333,31301.1113107513,11415.7706075607,4449.75255592341,1454.54060751242,360.701685221863,387.761298633947,2472.31794653574,0,0,151.4786875,252.940698610679
11,BC,4,Nanaimo,res,ex,BC CZ4 - Nanaimo,sfd,-5,2021,0.401136518325917,2100,191.017389679008,hdd_18,3063.645833,cdd_18,342.708333,24425.2685418934,7446.52422163441,4449.75255592341,1454.54060751242,360.701685221863,387.761298633947,2472.31794653574,0,0,116.3106770675,203.710731999583
12,BC,6,Prince George,res,ex,BC CZ6 - Prince George,sfd,-5,2021,0.0615044620284119,322,191.007646050969,hdd_18,5126.1125,cdd_18,178.579167,43813.9236943813,3880.25024341849,4449.75255592341,1454.54060751242,360.701685221863,387.761298633947,2472.31794653574,0,0,214.27784375,340.850146070789
13,BC,4,Vancouver,res,ex,BC CZ4 - Vancouver,sfd,-5,2021,1.73385125010698,9078,190.994850199051,hdd_18,2873.7125,cdd_18,180.989583,22303.1212862809,3932.6248704697,4449.75255592341,1454.54060751242,360.701685221863,387.761298633947,2472.31794653574,0,0,107.28884375,191.081511650486
14,BC,5,Vernon,res,ex,BC CZ5 - Kelowna,sfd,-5,2021,0.0885779567399356,463,191.31308151174,hdd_18,3804.025,cdd_18,525.383333,31336.8468368587,11415.7706075607,4449.75255592341,1454.54060751242,360.701685221863,387.761298633947,2472.31794653574,0,0,151.4786875,252.940698610679
15,BC,4,Victoria,res,ex,BC CZ4 - Victoria,sfd,-5,2021,1.02735819322086,5379,190.994272768332,hdd_18,2954.579167,cdd_18,163.3875,23369.1107765004,3550.15871838253,4449.75255592341,1454.54060751242,360.701685221863,387.761298633947,2472.31794653574,0,0,111.1300104325,196.45857180264
16,MB,7A,Winnipeg,res,ex,MB CZ7a - Winnipeg,sfd,-5,2021,0.185608774233959,1265,146.72630374226,hdd_18,5181.75625,cdd_18,452.602083,33923.9020993222,11440.4453668662,4461.06096407899,1478.16154708675,360.701685221863,387.761298633947,3587.47809821462,0,0,216.920921875,345.073051708444
17,NB,6,Fredericton,res,ex,NB CZ6 - Fredericton,sfd,-5,2021,0.0432033328045571,288,150.011572238045,hdd_18,4131.039583,cdd_18,291.7125,26847.4291433682,3971.54305723728,3107.01272657297,1103.50046823723,360.701685221863,387.761298633947,2869.18332296065,0,0,167.0118801925,273.473443522773
18,NB,6,Moncton,res,ex,NB CZ6 - Moncton,sfd,-5,2021,0.0578491421545421,385,150.25751208972,hdd_18,4202.554167,cdd_18,275.8375,27434.514445959,3755.41160577859,3107.01272657297,1103.50046823723,360.701685221863,387.761298633947,2869.18332296065,0,0,170.4088229325,278.207685147825
19,NB,6,Saint John,res,ex,NB CZ6 - Saint John,sfd,-5,2021,0.0531094755414725,354,150.026767066307,hdd_18,4198.810417,cdd_18,150.366667,27363.9815116263,2047.17895998204,3107.01272657297,1103.50046823723,360.701685221863,387.761298633947,2869.18332296065,0,0,170.2309948075,277.959850145614
20,NL,6,St. John's,res,ex,NL CZ6 - St. John's,sfd,-5,2021,0.133681218342131,889,150.37257406314,hdd_18,4355.689583,cdd_18,95.035417,28782.363641259,793.189222800843,2506.22607130547,722.913662495071,360.701685221863,387.761298633947,2291.06607936489,0,0,177.6827551925,296.268459519542
21,NS,6,Cape Breton,res,ex,NS CZ6 - Cape Breton,sfd,-5,2021,0.190930626006342,1225,155.861735515381,hdd_18,3989.21875,cdd_18,175.020833,27388.964909787,1890.18979993054,3152.39221014069,970.841553516405,360.701685221863,387.761298633947,2203.89968014148,0,0,160.275390625,290.800903309623
22,NS,6,Halifax,res,ex,NS CZ6 - Halifax,sfd,-5,2021,0.578751554766789,3716,155.745843586326,hdd_18,3823.727083,cdd_18,218.197917,26042.1038628173,2356.49362427323,3152.39221014069,970.841553516405,360.701685221863,387.761298633947,2203.89968014148,0,0,152.4145364425,278.737106042598
23,ON,6,Barrie,res,ex,ON CZ6 - Barrie,sfd,-5,2021,0.551648790597145,3083,178.932465325055,hdd_18,4032.979167,cdd_18,323.964583,32164.1452754838,6391.4224518567,3423.14153313742,1218.08057757622,360.701685221863,387.761298633947,2100.72836224757,0,0,162.3540104325,305.416026424567
24,ON,5,Belleville - Quinte West,res,ex,ON CZ5 - Kingston,sfd,-5,2021,0.578086655330477,3230,178.974196696742,hdd_18,3707.804167,cdd_18,338.708333,29466.453636396,6682.29849115067,3423.14153313742,1218.08057757622,360.701685221863,387.761298633947,2100.72836224757,0,0,146.9081979325,280.790643480552
25,ON,5,Brantford,res,ex,ON CZ5 - Brantford,sfd,-5,2021,0.675119445929216,3773,178.934388001382,hdd_18,3620.070833,cdd_18,438.454167,28639.8197573988,8650.16101798365,3423.14153313742,1218.08057757622,360.701685221863,387.761298633947,2100.72836224757,0,0,142.7408645675,274.146630420799
26,ON,5,Chatham-Kent,res,ex,ON CZ5 - Windsor,sfd,-5,2021,0.638509119486362,3568,178.954349631828,hdd_18,3176.69375,cdd_18,612.570833,24481.1017122031,12085.2685164932,3423.14153313742,1218.08057757622,360.701685221863,387.761298633947,2100.72836224757,0,0,121.680453125,240.569847281028
