column_name,dtype
province_territory,str
climate_zone,str
metro,str
weather_station,str
sector,str
vintage,str
building_type,str
building_envelope_bin,str
building_envelope_bin_destination,str
equipment_config_id,str
equipment_eul,uint16
equipment_stock_share_pct,float32
year,uint16
demolition_rate_pct,float32
retrofit_rate_pct,float32
nc_rate_pct_pct,float32
building_genome_qty,int32
building_genome_gfa,float64
unit_gfa,float64
building_genome_id,int32
equipment_config_instance_id,str
equipment_config_id,str
equipment_end_use,str
energy_electricity_kwh,float32
energy_gas_kwh,float32
energy_oil_kwh,float32
energy_propane_kwh,float32
energy_wood_kwh,float32
loadshape_id_electricity,str
loadshape_id_gas,str
id_measure,categorical
measure_type,str
season,categorical
peak,float32
participation,float32
priority,uint16
description,str
equipment_applicability,str
seasonal_applicability,categorical
timestep_between_calls,uint16
call_limit_peak_week,uint16
call_limit_peak_day,uint16
dr_shape,str
precharge_shape,str
rebound_shape,str
notes,str
hour,uint16
