climate_zone,dwelling_type,envelope_tier,heating_load_annual
CZ_5,apt,average,20.248829300160743
CZ_5,apt,good,13.216992725972801
CZ_5,apt,poor,29.388641843746182
CZ_5,mob,average,23.843937563431822
CZ_5,mob,good,17.54694171890775
CZ_5,mob,poor,45.289695344358094
CZ_5,row,average,31.698722637265384
CZ_5,row,good,20.79185085086544
CZ_5,row,poor,48.18028754249451
CZ_5,sfd,average,41.12572588376545
CZ_5,sfd,good,26.929989870483052
CZ_5,sfd,poor,67.2214505937493
CZ_6,apt,average,26.154652673387062
CZ_6,apt,good,16.128544751342506
CZ_6,apt,poor,37.94149020814519
CZ_6,mob,average,29.126281030153997
CZ_6,mob,good,18.844074458909187
CZ_6,mob,poor,54.07993465344185
CZ_6,row,average,40.593271258585176
CZ_6,row,good,25.681902058413577
CZ_6,row,poor,60.87289431897164
CZ_6,sfd,average,52.276653018606424
CZ_6,sfd,good,33.22549704018582
CZ_6,sfd,poor,83.35550583921399
CZ_7A,apt,average,32.00425759983809
CZ_7A,apt,good,18.800986078776415
CZ_7A,apt,poor,46.46619048899794
CZ_7A,mob,average,35.820374238464524
CZ_7A,mob,good,23.233472678048475
CZ_7A,mob,poor,64.46419881644012
CZ_7A,row,average,49.5044093313587
CZ_7A,row,good,30.463052524622235
CZ_7A,row,poor,73.79066113016334
CZ_7A,sfd,average,63.95550822328327
CZ_7A,sfd,good,39.807698045992964
CZ_7A,sfd,poor,100.56917736274112
