province_territory,climate_zone,metro,sector,vintage,building_type,building_envelope_bin,year,equipment_config_id,equipment_stock_share_pct
AB,all,all,res,ex,sfd,all,2021,config_hvac_res_001,0.00131
AB,all,all,res,ex,sfd,all,2021,config_hvac_res_002,0.22153
AB,all,all,res,ex,sfd,all,2021,config_hvac_res_003,0.34409
AB,all,all,res,ex,sfd,all,2021,config_hvac_res_004,0.05768
AB,all,all,res,ex,sfd,all,2021,config_hvac_res_005,0.00459
AB,all,all,res,ex,sfd,all,2021,config_hvac_res_006,0.00393
AB,all,all,res,ex,sfd,all,2021,config_hvac_res_007,0.00069
AB,all,all,res,ex,sfd,all,2021,config_hvac_res_008,0.11647
AB,all,all,res,ex,sfd,all,2021,config_hvac_res_009,0.18091
AB,all,all,res,ex,sfd,all,2021,config_hvac_res_010,0.03032
AB,all,all,res,ex,sfd,all,2021,config_hvac_res_011,0.00241
AB,all,all,res,ex,sfd,all,2021,config_hvac_res_012,0.00207
AB,all,all,res,ex,sfd,all,2021,config_hvac_res_013,0.00000
AB,all,all,res,ex,sfd,all,2021,config_hvac_res_014,0.00000
AB,all,all,res,ex,sfd,all,2021,config_hvac_res_015,0.02971
AB,all,all,res,ex,sfd,all,2021,config_hvac_res_016,0.00338
AB,all,all,res,ex,sfd,all,2021,config_hvac_res_017,0.00040
AB,all,all,res,ex,sfd,all,2021,config_hvac_res_018,0.00051
AB,all,all,res,ex,sfd,all,2021,config_hvac_res_019,0.00000
AB,all,all,res,ex,sfd,all,2021,config_hvac_res_020,0.00000
AB,all,all,res,ex,sfd,all,2021,config_hvac_res_021,0.00000
AB,all,all,res,ex,sfd,all,2021,config_hvac_res_022,0.00000
AB,all,all,res,ex,sfd,all,2021,config_hvac_res_023,0.00000
AB,all,all,res,ex,row,all,2021,config_hvac_res_001,0.00139
AB,all,all,res,ex,row,all,2021,config_hvac_res_002,0.20453
AB,all,all,res,ex,row,all,2021,config_hvac_res_003,0.41114
AB,all,all,res,ex,row,all,2021,config_hvac_res_004,0.06587
AB,all,all,res,ex,row,all,2021,config_hvac_res_005,0.00485
AB,all,all,res,ex,row,all,2021,config_hvac_res_006,0.00069
AB,all,all,res,ex,row,all,2021,config_hvac_res_007,0.00061
AB,all,all,res,ex,row,all,2021,config_hvac_res_008,0.09047
AB,all,all,res,ex,row,all,2021,config_hvac_res_009,0.18186
AB,all,all,res,ex,row,all,2021,config_hvac_res_010,0.02913
AB,all,all,res,ex,row,all,2021,config_hvac_res_011,0.00215
AB,all,all,res,ex,row,all,2021,config_hvac_res_012,0.00031
AB,all,all,res,ex,row,all,2021,config_hvac_res_013,0.00000
AB,all,all,res,ex,row,all,2021,config_hvac_res_014,0.00000
AB,all,all,res,ex,row,all,2021,config_hvac_res_015,0.00612
AB,all,all,res,ex,row,all,2021,config_hvac_res_016,0.00070
AB,all,all,res,ex,row,all,2021,config_hvac_res_017,0.00008
AB,all,all,res,ex,row,all,2021,config_hvac_res_018,0.00010
AB,all,all,res,ex,row,all,2021,config_hvac_res_019,0.00000
AB,all,all,res,ex,row,all,2021,config_hvac_res_020,0.00000
AB,all,all,res,ex,row,all,2021,config_hvac_res_021,0.00000
AB,all,all,res,ex,row,all,2021,config_hvac_res_022,0.00000
AB,all,all,res,ex,row,all,2021,config_hvac_res_023,0.00000
AB,all,all,res,ex,apt,all,2021,config_hvac_res_001,0.00175
AB,all,all,res,ex,apt,all,2021,config_hvac_res_002,0.29185
AB,all,all,res,ex,apt,all,2021,config_hvac_res_003,0.48671
AB,all,all,res,ex,apt,all,2021,config_hvac_res_004,0.08126
AB,all,all,res,ex,apt,all,2021,config_hvac_res_005,0.00612
AB,all,all,res,ex,apt,all,2021,config_hvac_res_006,0.00087
AB,all,all,res,ex,apt,all,2021,config_hvac_res_007,0.00025
AB,all,all,res,ex,apt,all,2021,config_hvac_res_008,0.04215
AB,all,all,res,ex,apt,all,2021,config_hvac_res_009,0.07029
AB,all,all,res,ex,apt,all,2021,config_hvac_res_010,0.01174
AB,all,all,res,ex,apt,all,2021,config_hvac_res_011,0.00088
AB,all,all,res,ex,apt,all,2021,config_hvac_res_012,0.00013
AB,all,all,res,ex,apt,all,2021,config_hvac_res_013,0.00000
AB,all,all,res,ex,apt,all,2021,config_hvac_res_014,0.00000
AB,all,all,res,ex,apt,all,2021,config_hvac_res_015,0.00524
AB,all,all,res,ex,apt,all,2021,config_hvac_res_016,0.00060
AB,all,all,res,ex,apt,all,2021,config_hvac_res_017,0.00007
AB,all,all,res,ex,apt,all,2021,config_hvac_res_018,0.00009
AB,all,all,res,ex,apt,all,2021,config_hvac_res_019,0.00000
AB,all,all,res,ex,apt,all,2021,config_hvac_res_020,0.00000
AB,all,all,res,ex,apt,all,2021,config_hvac_res_021,0.00000
AB,all,all,res,ex,apt,all,2021,config_hvac_res_022,0.00000
AB,all,all,res,ex,apt,all,2021,config_hvac_res_023,0.00000
AB,all,all,res,ex,mob,all,2021,config_hvac_res_001,0.00195
AB,all,all,res,ex,mob,all,2021,config_hvac_res_002,0.75904
AB,all,all,res,ex,mob,all,2021,config_hvac_res_003,0.00976
AB,all,all,res,ex,mob,all,2021,config_hvac_res_004,0.07415
AB,all,all,res,ex,mob,all,2021,config_hvac_res_005,0.00585
AB,all,all,res,ex,mob,all,2021,config_hvac_res_006,0.05561
AB,all,all,res,ex,mob,all,2021,config_hvac_res_007,0.00005
AB,all,all,res,ex,mob,all,2021,config_hvac_res_008,0.01896
AB,all,all,res,ex,mob,all,2021,config_hvac_res_009,0.00024
AB,all,all,res,ex,mob,all,2021,config_hvac_res_010,0.00185
AB,all,all,res,ex,mob,all,2021,config_hvac_res_011,0.00015
AB,all,all,res,ex,mob,all,2021,config_hvac_res_012,0.00139
AB,all,all,res,ex,mob,all,2021,config_hvac_res_013,0.00000
AB,all,all,res,ex,mob,all,2021,config_hvac_res_014,0.00001
AB,all,all,res,ex,mob,all,2021,config_hvac_res_015,0.06204
AB,all,all,res,ex,mob,all,2021,config_hvac_res_016,0.00706
AB,all,all,res,ex,mob,all,2021,config_hvac_res_017,0.00083
AB,all,all,res,ex,mob,all,2021,config_hvac_res_018,0.00106
AB,all,all,res,ex,mob,all,2021,config_hvac_res_019,0.00000
AB,all,all,res,ex,mob,all,2021,config_hvac_res_020,0.00000
AB,all,all,res,ex,mob,all,2021,config_hvac_res_021,0.00000
AB,all,all,res,ex,mob,all,2021,config_hvac_res_022,0.00000
AB,all,all,res,ex,mob,all,2021,config_hvac_res_023,0.00000
BC,all,all,res,ex,sfd,all,2021,config_hvac_res_001,0.01866
BC,all,all,res,ex,sfd,all,2021,config_hvac_res_002,0.18322
BC,all,all,res,ex,sfd,all,2021,config_hvac_res_003,0.18297
BC,all,all,res,ex,sfd,all,2021,config_hvac_res_004,0.21796
BC,all,all,res,ex,sfd,all,2021,config_hvac_res_005,0.00400
BC,all,all,res,ex,sfd,all,2021,config_hvac_res_006,0.02774
BC,all,all,res,ex,sfd,all,2021,config_hvac_res_007,0.00934
BC,all,all,res,ex,sfd,all,2021,config_hvac_res_008,0.09166
BC,all,all,res,ex,sfd,all,2021,config_hvac_res_009,0.09153
BC,all,all,res,ex,sfd,all,2021,config_hvac_res_010,0.10904
BC,all,all,res,ex,sfd,all,2021,config_hvac_res_011,0.00200
BC,all,all,res,ex,sfd,all,2021,config_hvac_res_012,0.01388
BC,all,all,res,ex,sfd,all,2021,config_hvac_res_013,0.00000
BC,all,all,res,ex,sfd,all,2021,config_hvac_res_014,0.00004
BC,all,all,res,ex,sfd,all,2021,config_hvac_res_015,0.02736
BC,all,all,res,ex,sfd,all,2021,config_hvac_res_016,0.01698
BC,all,all,res,ex,sfd,all,2021,config_hvac_res_017,0.00040
BC,all,all,res,ex,sfd,all,2021,config_hvac_res_018,0.00323
BC,all,all,res,ex,sfd,all,2021,config_hvac_res_019,0.00000
BC,all,all,res,ex,sfd,all,2021,config_hvac_res_020,0.00000
BC,all,all,res,ex,sfd,all,2021,config_hvac_res_021,0.00000
BC,all,all,res,ex,sfd,all,2021,config_hvac_res_022,0.00000
BC,all,all,res,ex,sfd,all,2021,config_hvac_res_023,0.00000
BC,all,all,res,ex,row,all,2021,config_hvac_res_001,0.01493
BC,all,all,res,ex,row,all,2021,config_hvac_res_002,0.20793
BC,all,all,res,ex,row,all,2021,config_hvac_res_003,0.22442
BC,all,all,res,ex,row,all,2021,config_hvac_res_004,0.33351
BC,all,all,res,ex,row,all,2021,config_hvac_res_005,0.00581
BC,all,all,res,ex,row,all,2021,config_hvac_res_006,0.01649
BC,all,all,res,ex,row,all,2021,config_hvac_res_007,0.00307
BC,all,all,res,ex,row,all,2021,config_hvac_res_008,0.04270
BC,all,all,res,ex,row,all,2021,config_hvac_res_009,0.04608
BC,all,all,res,ex,row,all,2021,config_hvac_res_010,0.06849
BC,all,all,res,ex,row,all,2021,config_hvac_res_011,0.00119
BC,all,all,res,ex,row,all,2021,config_hvac_res_012,0.00339
BC,all,all,res,ex,row,all,2021,config_hvac_res_013,0.00000
BC,all,all,res,ex,row,all,2021,config_hvac_res_014,0.00003
BC,all,all,res,ex,row,all,2021,config_hvac_res_015,0.01824
BC,all,all,res,ex,row,all,2021,config_hvac_res_016,0.01132
BC,all,all,res,ex,row,all,2021,config_hvac_res_017,0.00026
BC,all,all,res,ex,row,all,2021,config_hvac_res_018,0.00215
BC,all,all,res,ex,row,all,2021,config_hvac_res_019,0.00000
BC,all,all,res,ex,row,all,2021,config_hvac_res_020,0.00000
BC,all,all,res,ex,row,all,2021,config_hvac_res_021,0.00000
BC,all,all,res,ex,row,all,2021,config_hvac_res_022,0.00000
BC,all,all,res,ex,row,all,2021,config_hvac_res_023,0.00000
BC,all,all,res,ex,apt,all,2021,config_hvac_res_001,0.01229
BC,all,all,res,ex,apt,all,2021,config_hvac_res_002,0.21230
BC,all,all,res,ex,apt,all,2021,config_hvac_res_003,0.24764
BC,all,all,res,ex,apt,all,2021,config_hvac_res_004,0.36620
BC,all,all,res,ex,apt,all,2021,config_hvac_res_005,0.00615
BC,all,all,res,ex,apt,all,2021,config_hvac_res_006,0.01515
BC,all,all,res,ex,apt,all,2021,config_hvac_res_007,0.00171
BC,all,all,res,ex,apt,all,2021,config_hvac_res_008,0.02945
BC,all,all,res,ex,apt,all,2021,config_hvac_res_009,0.03436
BC,all,all,res,ex,apt,all,2021,config_hvac_res_010,0.05080
BC,all,all,res,ex,apt,all,2021,config_hvac_res_011,0.00085
BC,all,all,res,ex,apt,all,2021,config_hvac_res_012,0.00210
BC,all,all,res,ex,apt,all,2021,config_hvac_res_013,0.00000
BC,all,all,res,ex,apt,all,2021,config_hvac_res_014,0.00002
BC,all,all,res,ex,apt,all,2021,config_hvac_res_015,0.01197
BC,all,all,res,ex,apt,all,2021,config_hvac_res_016,0.00743
BC,all,all,res,ex,apt,all,2021,config_hvac_res_017,0.00017
BC,all,all,res,ex,apt,all,2021,config_hvac_res_018,0.00141
BC,all,all,res,ex,apt,all,2021,config_hvac_res_019,0.00000
BC,all,all,res,ex,apt,all,2021,config_hvac_res_020,0.00000
BC,all,all,res,ex,apt,all,2021,config_hvac_res_021,0.00000
BC,all,all,res,ex,apt,all,2021,config_hvac_res_022,0.00000
BC,all,all,res,ex,apt,all,2021,config_hvac_res_023,0.00000
BC,all,all,res,ex,mob,all,2021,config_hvac_res_001,0.00636
BC,all,all,res,ex,mob,all,2021,config_hvac_res_002,0.15849
BC,all,all,res,ex,mob,all,2021,config_hvac_res_003,0.00000
BC,all,all,res,ex,mob,all,2021,config_hvac_res_004,0.10114
BC,all,all,res,ex,mob,all,2021,config_hvac_res_005,0.00182
BC,all,all,res,ex,mob,all,2021,config_hvac_res_006,0.01170
BC,all,all,res,ex,mob,all,2021,config_hvac_res_007,0.01464
BC,all,all,res,ex,mob,all,2021,config_hvac_res_008,0.36488
BC,all,all,res,ex,mob,all,2021,config_hvac_res_009,0.00000
BC,all,all,res,ex,mob,all,2021,config_hvac_res_010,0.23286
BC,all,all,res,ex,mob,all,2021,config_hvac_res_011,0.00418
BC,all,all,res,ex,mob,all,2021,config_hvac_res_012,0.02693
BC,all,all,res,ex,mob,all,2021,config_hvac_res_013,0.00000
BC,all,all,res,ex,mob,all,2021,config_hvac_res_014,0.00006
BC,all,all,res,ex,mob,all,2021,config_hvac_res_015,0.04388
BC,all,all,res,ex,mob,all,2021,config_hvac_res_016,0.02723
BC,all,all,res,ex,mob,all,2021,config_hvac_res_017,0.00063
BC,all,all,res,ex,mob,all,2021,config_hvac_res_018,0.00518
BC,all,all,res,ex,mob,all,2021,config_hvac_res_019,0.00000
BC,all,all,res,ex,mob,all,2021,config_hvac_res_020,0.00000
BC,all,all,res,ex,mob,all,2021,config_hvac_res_021,0.00000
BC,all,all,res,ex,mob,all,2021,config_hvac_res_022,0.00000
BC,all,all,res,ex,mob,all,2021,config_hvac_res_023,0.00000
MB,all,all,res,ex,sfd,all,2021,config_hvac_res_001,0.00000
MB,all,all,res,ex,sfd,all,2021,config_hvac_res_002,0.00000
MB,all,all,res,ex,sfd,all,2021,config_hvac_res_003,0.00000
MB,all,all,res,ex,sfd,all,2021,config_hvac_res_004,0.00000
MB,all,all,res,ex,sfd,all,2021,config_hvac_res_005,0.00000
MB,all,all,res,ex,sfd,all,2021,config_hvac_res_006,0.00000
MB,all,all,res,ex,sfd,all,2021,config_hvac_res_007,0.00800
