equipment_config_id,equipment_config_name,equipment_class,has_simultaneous_heat_cool_hr,has_cooling,equipment_type,equipment_primary_energy_source,load_share_primary,min_temp_primary,equipment_secondary_energy_source,min_temp_secondary,heating_cap_neg_45_primary,heating_cap_neg_40_primary,heating_cap_neg_35_primary,heating_cap_neg_30_primary,heating_cap_neg_25_primary,heating_cap_neg_20_primary,heating_cap_neg_15_primary,heating_cap_neg_10_primary,heating_cap_neg_8.3_primary,heating_cap_neg_5_primary,heating_cap_0_primary,heating_cap_5_primary,heating_cap_8.3_primary,heating_cap_10_primary,heating_cap_15_primary,heating_cap_18_primary,heating_cap_20_primary,heating_cap_25_primary,heating_cap_30_primary,heating_cap_35_primary,heating_cap_40_primary,heating_cap_45_primary,heating_cop_neg_45_primary,heating_cop_neg_40_primary,heating_cop_neg_35_primary,heating_cop_neg_30_primary,heating_cop_neg_25_primary,heating_cop_neg_20_primary,heating_cop_neg_15_primary,heating_cop_neg_10_primary,heating_cop_neg_8.3_primary,heating_cop_neg_5_primary,heating_cop_0_primary,heating_cop_5_primary,heating_cop_8.3_primary,heating_cop_10_primary,heating_cop_15_primary,heating_cop_18_primary,heating_cop_20_primary,heating_cop_25_primary,heating_cop_30_primary,heating_cop_35_primary,heating_cop_40_primary,heating_cop_45_primary,heating_cap_neg_45_secondary,heating_cap_neg_40_secondary,heating_cap_neg_35_secondary,heating_cap_neg_30_secondary,heating_cap_neg_25_secondary,heating_cap_neg_20_secondary,heating_cap_neg_15_secondary,heating_cap_neg_10_secondary,heating_cap_neg_8.3_secondary,heating_cap_neg_5_secondary,heating_cap_0_secondary,heating_cap_5_secondary,heating_cap_8.3_secondary,heating_cap_10_secondary,heating_cap_15_secondary,heating_cap_18_secondary,heating_cap_20_secondary,heating_cap_25_secondary,heating_cap_30_secondary,heating_cap_35_secondary,heating_cap_40_secondary,heating_cap_45_secondary,heating_cop_neg_45_secondary,heating_cop_neg_40_secondary,heating_cop_neg_35_secondary,heating_cop_neg_30_secondary,heating_cop_neg_25_secondary,heating_cop_neg_20_secondary,heating_cop_neg_15_secondary,heating_cop_neg_10_secondary,heating_cop_neg_8.3_secondary,heating_cop_neg_5_secondary,heating_cop_0_secondary,heating_cop_5_secondary,heating_cop_8.3_secondary,heating_cop_10_secondary,heating_cop_15_secondary,heating_cop_18_secondary,heating_cop_20_secondary,heating_cop_25_secondary,heating_cop_30_secondary,heating_cop_35_secondary,heating_cop_40_secondary,heating_cop_45_secondary,cooling_cap_5_primary,cooling_cap_8.3_primary,cooling_cap_10_primary,cooling_cap_15_primary,cooling_cap_18_primary,cooling_cap_20_primary,cooling_cap_25_primary,cooling_cap_30_primary,cooling_cap_35_primary,cooling_cap_40_primary,cooling_cap_45_primary,cooling_cop_5_primary,cooling_cop_8.3_primary,cooling_cop_10_primary,cooling_cop_15_primary,cooling_cop_18_primary,cooling_cop_20_primary,cooling_cop_25_primary,cooling_cop_30_primary,cooling_cop_35_primary,cooling_cop_40_primary,cooling_cop_45_primary
config_hvac_res_001,oil wo AC,residential hvac,0,0,single combustion - fuel,oil,1,-45,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
config_hvac_res_002,non-condensing gas wo AC,residential hvac,0,0,single combustion - gas,gas,1,-45,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
config_hvac_res_003,condensing gas wo AC,residential hvac,0,0,single combustion - gas,gas,1,-45,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
config_hvac_res_004,electric resistance wo AC,residential hvac,0,0,electric resistance,electricity,1,-45,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
config_hvac_res_005,propane wo AC,residential hvac,0,0,single combustion - fuel,propane,1,-45,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
config_hvac_res_006,wood wo AC,residential hvac,0,0,single combustion - fuel,wood,1,-45,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
config_hvac_res_007,oil w AC,residential hvac,0,1,single combustion - fuel,oil,1,-45,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1,0.9,0.85,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.1,2.75,2.3
config_hvac_res_008,non-condensing gas w AC,residential hvac,0,1,single combustion - gas,gas,1,-45,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1,0.9,0.85,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.1,2.75,2.3
config_hvac_res_009,condensing gas w AC,residential hvac,0,1,single combustion - gas,gas,1,-45,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1,0.9,0.85,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.1,2.75,2.3
config_hvac_res_010,electric resistance w AC,residential hvac,0,1,electric resistance,electricity,1,-45,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1,0.9,0.85,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.1,2.75,2.3
