data_source,scenario,province_territory,year,energy_cost_electricity_per_kwh,ghgi_electricity_g_per_kwh,energy_cost_gas_per_kwh,ghgi_gas_g_per_kwh,energy_cost_oil_per_kwh,ghgi_oil_g_per_kwh,energy_cost_propane_per_kwh,ghgi_propane_g_per_kwh,energy_cost_wood_per_kwh,ghgi_wood_g_per_kwh,energy_cost_steam_per_kwh,ghgi_steam_g_per_kwh,energy_cost_other_per_kwh,ghgi_other_g_per_kwh,carbon_tax_per_tonne
CER 2021,Evolving Policies,NL,2021,0.159912448,0.032,0.0581,180.7849829,0.112,256,0.312,230,0.07799,347,0.0581,180.7849829,0.0581,180.7849829,0
CER 2021,Evolving Policies,PE,2021,0.203868571,0,0.0581,180.7849829,0.107,256,0.312,230,0.07799,347,0.0581,180.7849829,0.0581,180.7849829,0
CER 2021,Evolving Policies,NS,2021,0.180216505,240,0.095,180.7849829,0.115,256,0.312,230,0.07799,347,0.095,180.7849829,0.095,180.7849829,0
CER 2021,Evolving Policies,NB,2021,0.174456488,87,0.0495,180.7849829,0.126,256,0.312,230,0.07799,347,0.0495,180.7849829,0.0495,180.7849829,0
CER 2021,Evolving Policies,QC,2021,0.102204286,5.4,0.0628,181.4334471,0.122,256,0.312,230,0.07799,347,0.0628,181.4334471,0.0628,181.4334471,0
CER 2021,Evolving Policies,ON,2021,0.249480699,26,0.0398,180.9556314,0.138,256,0.312,230,0.07799,347,0.0398,180.9556314,0.0398,180.9556314,0
CER 2021,Evolving Policies,MB,2021,0.11070031,0.96,0.0382,180.4095563,0.124,256,0.312,230,0.07799,347,0.0382,180.4095563,0.0382,180.4095563,0
CER 2021,Evolving Policies,AB,2021,0.121212339,120,0.0246,184.8122867,0.116,256,0.312,230,0.07799,347,0.0246,184.8122867,0.0246,184.8122867,0
CER 2021,Evolving Policies,BC,2021,0.124560349,0,0.0513,184.8122867,0.144,256,0.312,230,0.07799,347,0.0513,184.8122867,0.0513,184.8122867,0
CER 2021,Evolving Policies,SK,2021,0.197640553,84,0.0365,180.8532423,0.122,256,0.312,230,0.07799,347,0.0365,180.8532423,0.0365,180.8532423,0
CER 2021,Evolving Policies,TR,2021,0.168048471,35,0.0457,185.1877133,0.135,256,0.312,230,0.07799,347,0.0457,185.1877133,0.0457,185.1877133,0
CER 2021,Evolving Policies,NL,2022,0.159984448,0.032,0.0589,180.7849829,0.114,256,0.312,230,0.07799,347,0.0589,180.7849829,0.0589,180.7849829,0
CER 2021,Evolving Policies,NL,2023,0.160056448,0.032,0.0612,180.7849829,0.115,256,0.312,230,0.07799,347,0.0612,180.7849829,0.0612,180.7849829,0
CER 2021,Evolving Policies,NL,2024,0.160128448,0.032,0.0633,180.7849829,0.116,256,0.312,230,0.07799,347,0.0633,180.7849829,0.0633,180.7849829,0
CER 2021,Evolving Policies,NL,2025,0.160236449,0.032,0.0654,180.7849829,0.117,256,0.312,230,0.07799,347,0.0654,180.7849829,0.0654,180.7849829,0
CER 2021,Evolving Policies,NL,2026,0.161352452,0.032,0.0675,180.7849829,0.118,256,0.312,230,0.07799,347,0.0675,180.7849829,0.0675,180.7849829,0
