climate_zone,dwelling_type,envelope_tier,population_share
CZ_5,apt,average,0.5177775873253235
CZ_5,apt,good,0.3137653287545936
CZ_5,apt,poor,0.16845708392008288
CZ_5,mob,average,0.12927427499639302
CZ_5,mob,good,0.013562256528639446
CZ_5,mob,poor,0.8571634684749675
CZ_5,row,average,0.4479387130359113
CZ_5,row,good,0.12836386804034
CZ_5,row,poor,0.4236974189237487
CZ_5,sfd,average,0.3051737780560119
CZ_5,sfd,good,0.057803673326278615
CZ_5,sfd,poor,0.6370225486177095
CZ_6,apt,average,0.42400750983297864
CZ_6,apt,good,0.4855820120558446
CZ_6,apt,poor,0.09041047811117672
CZ_6,mob,average,0.1772159289968469
CZ_6,mob,good,0.03234847600140138
CZ_6,mob,poor,0.7904355950017518
CZ_6,row,average,0.47107206865714485
CZ_6,row,good,0.232063799328002
CZ_6,row,poor,0.2968641320148531
CZ_6,sfd,average,0.36846520656762993
CZ_6,sfd,good,0.11162337328923112
CZ_6,sfd,poor,0.519911420143139
CZ_7A,apt,average,0.3486869017426164
CZ_7A,apt,good,0.5942076413319153
CZ_7A,apt,poor,0.05710545692546838
CZ_7A,mob,average,0.20952735392631186
CZ_7A,mob,good,0.04800893189430592
CZ_7A,mob,poor,0.7424637141793822
CZ_7A,row,average,0.4592925026399155
CZ_7A,row,good,0.31520591341077087
CZ_7A,row,poor,0.22550158394931363
CZ_7A,sfd,average,0.39730893601144207
CZ_7A,sfd,good,0.1603211864933773
CZ_7A,sfd,poor,0.44236987749518064
