climate_zone,dwelling_type,envelope_tier,cooling_load_annual
CZ_5,apt,average,10.207993111540276
CZ_5,apt,good,10.008732662970132
CZ_5,apt,poor,11.481550721525158
CZ_5,mob,average,11.481863859309069
CZ_5,mob,good,10.91238522636746
CZ_5,mob,poor,16.756010249124323
CZ_5,row,average,15.518178679509251
CZ_5,row,good,15.063153193939538
CZ_5,row,poor,18.457443368739685
CZ_5,sfd,average,20.03527480842558
CZ_5,sfd,good,19.288866729574803
CZ_5,sfd,poor,25.71364268819478
CZ_6,apt,average,8.264931508276623
CZ_6,apt,good,8.116080059724235
CZ_6,apt,poor,9.22801444521252
CZ_6,mob,average,9.903256698353944
CZ_6,mob,good,9.632995132660774
CZ_6,mob,poor,13.961550398495008
CZ_6,row,average,12.841978404932128
CZ_6,row,good,12.538232542110352
CZ_6,row,poor,14.968110718355694
CZ_6,sfd,average,16.58581073136654
CZ_6,sfd,good,16.137147211739933
CZ_6,sfd,poor,20.63497322214049
CZ_7A,apt,average,5.092620015805061
CZ_7A,apt,good,4.988418119045987
CZ_7A,apt,poor,5.673306814459187
CZ_7A,mob,average,6.015701450560675
CZ_7A,mob,good,5.846074801550397
CZ_7A,mob,poor,8.328963439298862
CZ_7A,row,average,7.707362683469902
CZ_7A,row,good,7.518259867770753
CZ_7A,row,poor,8.896465578129549
CZ_7A,sfd,average,10.238987398706032
CZ_7A,sfd,good,9.966562662612752
CZ_7A,sfd,poor,12.54422187361802
