dwelling_type,vehicle_type,vehicle_category,has_home_charging,ev_pct_charged_home,ev_pct_charged_level2,ev_pct_charged_fast
sfd,car,ICE,yes,0,0,0
sfd,car,ICE,no,0,0,0
sfd,car,EV,yes,0.79,0.14,0.07
sfd,car,EV,no,0,0.65,0.35
sfd,SUV,ICE,yes,0,0,0
sfd,SUV,ICE,no,0,0,0
sfd,SUV,EV,yes,0.79,0.14,0.07
sfd,SUV,EV,no,0,0.65,0.35
sfd,truck,ICE,yes,0,0,0
sfd,truck,ICE,no,0,0,0
sfd,truck,EV,yes,0.79,0.14,0.07
sfd,truck,EV,no,0,0.65,0.35
sfd,none,none,yes,0,0,0
sfd,none,none,no,0,0,0
row,car,ICE,yes,0,0,0
row,car,ICE,no,0,0,0
row,car,EV,yes,0.67,0.13,0.2
row,car,EV,no,0,0.4,0.6
row,SUV,ICE,yes,0,0,0
row,SUV,ICE,no,0,0,0
row,SUV,EV,yes,0.67,0.13,0.2
row,SUV,EV,no,0,0.4,0.6
row,truck,ICE,yes,0,0,0
row,truck,ICE,no,0,0,0
row,truck,EV,yes,0.67,0.13,0.2
row,truck,EV,no,0,0.4,0.6
row,none,none,yes,0,0,0
row,none,none,no,0,0,0
mob,car,ICE,yes,0,0,0
mob,car,ICE,no,0,0,0
mob,car,EV,yes,0.67,0.13,0.2
mob,car,EV,no,0,0.4,0.6
mob,SUV,ICE,yes,0,0,0
mob,SUV,ICE,no,0,0,0
mob,SUV,EV,yes,0.67,0.13,0.2
mob,SUV,EV,no,0,0.4,0.6
mob,truck,ICE,yes,0,0,0
mob,truck,ICE,no,0,0,0
mob,truck,EV,yes,0.67,0.13,0.2
mob,truck,EV,no,0,0.4,0.6
mob,none,none,yes,0,0,0
mob,none,none,no,0,0,0
apt,car,ICE,yes,0,0,0
apt,car,ICE,no,0,0,0
apt,car,EV,yes,0.67,0.13,0.2
apt,car,EV,no,0,0.4,0.6
apt,SUV,ICE,yes,0,0,0
apt,SUV,ICE,no,0,0,0
apt,SUV,EV,yes,0.67,0.13,0.2
apt,SUV,EV,no,0,0.4,0.6
apt,truck,ICE,yes,0,0,0
apt,truck,ICE,no,0,0,0
apt,truck,EV,yes,0.67,0.13,0.2
apt,truck,EV,no,0,0.4,0.6
apt,none,none,yes,0,0,0
apt,none,none,no,0,0,0
