year,vehicle_type,vehicle_category,vehicle_purchase_cost,vehicle_assumed_life,vehicle_maintenance_cost_per_km
2025,none,none,0,1,0
2025,car,ICE,28886,12,0.052395991
2025,SUV,ICE,33237,12,0.052395991
2025,truck,ICE,61493,12,0.080741363
2025,car,EV,65498,12,0.022
2025,SUV,EV,55893,12,0.022
2025,truck,EV,71144,12,0.033
2030,none,none,0,1,0
2030,car,ICE,28886,12,0.052395991
2030,SUV,ICE,33237,12,0.052395991
2030,truck,ICE,61493,12,0.080741363
2030,car,EV,30191,12,0.022
2030,SUV,EV,34541,12,0.022
2030,truck,EV,66069,12,0.033
2035,none,none,0,1,0
2035,car,ICE,28886,12,0.052395991
2035,SUV,ICE,33237,12,0.052395991
2035,truck,ICE,61493,12,0.080741363
2035,car,EV,27834,12,0.022
2035,SUV,EV,32185,12,0.022
2035,truck,EV,62365,12,0.033
