year,vehicle_type,vehicle_category,climate_zone,vehicle_efficiency_gas,vehicle_efficiency_electric,ev_efficiency_factor
2025,car,ICE,CZ_5,0.00242,0,1
2025,SUV,ICE,CZ_5,0.00268,0,1
2025,truck,ICE,CZ_5,0.00403,0,1
2025,car,EV,CZ_5,0,0.1694,0.94
2025,SUV,EV,CZ_5,0,0.1917,0.94
2025,truck,EV,CZ_5,0,0.2972,0.94
2025,none,none,CZ_5,0,0,1
2025,car,ICE,CZ_6,0.00242,0,1
2025,SUV,ICE,CZ_6,0.00268,0,1
2025,truck,ICE,CZ_6,0.00403,0,1
2025,car,EV,CZ_6,0,0.1694,0.9
2025,SUV,EV,CZ_6,0,0.1917,0.9
2025,truck,EV,CZ_6,0,0.2972,0.9
2025,none,none,CZ_6,0,0,1
2025,car,ICE,CZ_7A,0.00242,0,1
2025,SUV,ICE,CZ_7A,0.00268,0,1
2025,truck,ICE,CZ_7A,0.00403,0,1
2025,car,EV,CZ_7A,0,0.1694,0.86
2025,SUV,EV,CZ_7A,0,0.1917,0.86
2025,truck,EV,CZ_7A,0,0.2972,0.86
2025,none,none,CZ_7A,0,0,1
2030,car,ICE,CZ_5,0.001915,0,1
2030,SUV,ICE,CZ_5,0.002122,0,1
2030,truck,ICE,CZ_5,0.003402,0,1
2030,car,EV,CZ_5,0,0.1419,0.94
2030,SUV,EV,CZ_5,0,0.1619,0.94
2030,truck,EV,CZ_5,0,0.2536,0.94
2030,none,none,CZ_5,0,0,1
2030,car,ICE,CZ_6,0.001915,0,1
2030,SUV,ICE,CZ_6,0.002122,0,1
2030,truck,ICE,CZ_6,0.003402,0,1
2030,car,EV,CZ_6,0,0.1419,0.9
2030,SUV,EV,CZ_6,0,0.1619,0.9
2030,truck,EV,CZ_6,0,0.2536,0.9
2030,none,none,CZ_6,0,0,1
2030,car,ICE,CZ_7A,0.001915,0,1
2030,SUV,ICE,CZ_7A,0.002122,0,1
2030,truck,ICE,CZ_7A,0.003402,0,1
2030,car,EV,CZ_7A,0,0.1419,0.86
2030,SUV,EV,CZ_7A,0,0.1619,0.86
2030,truck,EV,CZ_7A,0,0.2536,0.86
2030,none,none,CZ_7A,0,0,1
2035,car,ICE,CZ_5,0.001711,0,1
2035,SUV,ICE,CZ_5,0.00188,0,1
2035,truck,ICE,CZ_5,0.00312,0,1
2035,car,EV,CZ_5,0,0.1194,0.94
2035,SUV,EV,CZ_5,0,0.1372,0.94
2035,truck,EV,CZ_5,0,0.2167,0.94
2035,none,none,CZ_5,0,0,1
2035,car,ICE,CZ_6,0.001711,0,1
2035,SUV,ICE,CZ_6,0.00188,0,1
2035,truck,ICE,CZ_6,0.00312,0,1
2035,car,EV,CZ_6,0,0.1194,0.9
2035,SUV,EV,CZ_6,0,0.1372,0.9
2035,truck,EV,CZ_6,0,0.2167,0.9
2035,none,none,CZ_6,0,0,1
2035,car,ICE,CZ_7A,0.001711,0,1
2035,SUV,ICE,CZ_7A,0.00188,0,1
2035,truck,ICE,CZ_7A,0.00312,0,1
2035,car,EV,CZ_7A,0,0.1194,0.86
2035,SUV,EV,CZ_7A,0,0.1372,0.86
2035,truck,EV,CZ_7A,0,0.2167,0.86
2035,none,none,CZ_7A,0,0,1
